Soil,Slope,Rain,LULC,lithology,lineament density,geomorphology,drainage density,validation point categorical data
11,41,2,27,3,10,26,46,1
11,27,2,27,3,6,26,26,1
11,41,2,27,3,6,26,46,1
6,27,2,27,4,16,44,15,1
30,41,2,14,3,10,26,26,1
6,27,2,14,8,10,26,26,1
30,27,2,27,3,6,26,15,1
11,27,2,27,3,6,26,46,1
30,27,2,27,3,6,44,46,1
53,41,3,27,3,6,44,26,1
30,27,2,27,3,6,26,26,1
11,41,2,27,3,6,44,26,1
6,41,2,14,6,6,44,26,1
11,41,2,27,3,6,26,26,1
11,41,2,27,3,6,26,15,1
53,41,2,6,8,10,44,26,1
30,41,2,27,18,16,26,26,1
11,27,2,14,3,6,16,46,1
11,15,2,27,3,6,16,46,1
6,27,2,27,8,10,26,9,1
6,41,2,27,8,16,44,26,2
30,41,3,27,3,6,26,26,2
30,41,2,27,8,6,44,26,2
30,27,2,27,18,10,44,26,2
30,41,2,27,8,6,44,46,2
30,41,2,27,3,6,44,46,2
30,41,2,27,6,6,44,26,2
11,41,2,14,4,26,44,26,2
6,27,2,53,4,16,44,15,2
53,41,2,53,18,10,44,26,2
11,41,2,27,3,6,26,15,2
6,41,2,53,4,10,44,9,2
6,41,2,53,8,10,44,15,2
30,15,2,27,3,6,44,46,2
30,41,2,27,3,6,44,46,2
6,27,2,27,8,6,44,15,2
30,41,2,27,8,6,44,46,2
11,41,2,53,8,6,44,15,2
30,41,2,27,8,6,44,26,2
30,41,2,27,3,6,44,26,2
30,27,3,27,3,6,26,46,2
30,41,2,27,8,6,26,46,2
30,41,2,27,8,6,26,26,2
11,41,3,27,3,6,44,46,2
11,27,3,27,3,6,44,46,2
30,41,5,27,34,10,16,26,3
30,41,5,27,34,6,16,46,3
30,27,2,27,34,6,26,46,3
30,41,5,27,34,6,16,46,3
30,15,2,27,8,6,44,46,3
30,27,5,27,34,6,26,26,3
30,41,3,27,3,6,26,26,3
30,41,3,27,28,6,26,15,3
11,27,3,27,8,6,26,15,3
6,41,2,27,8,16,44,9,3
30,41,5,27,34,6,26,26,3
30,41,3,27,34,6,26,15,3
30,41,5,27,3,6,26,26,3
30,41,3,27,6,6,44,26,3
30,41,5,27,34,6,16,15,3
30,41,5,14,34,6,26,26,3
30,27,3,27,8,6,44,26,3
53,27,8,14,28,6,10,46,4
30,41,3,27,34,6,26,26,4
30,41,5,14,28,10,26,15,4
30,41,8,14,28,6,10,46,4
30,41,5,27,34,10,26,15,4
30,41,5,27,34,10,26,26,4
30,27,5,27,34,6,10,46,4
30,41,5,27,34,6,16,15,4
30,41,3,27,8,6,26,15,4
53,41,25,14,28,6,4,15,4
53,27,14,27,28,6,10,46,4
30,41,5,27,34,6,26,46,4
30,27,2,27,34,6,10,15,4
30,27,8,27,28,6,10,46,4
30,41,8,14,28,6,10,46,4
30,41,5,27,28,10,16,26,4
30,27,8,14,28,6,10,46,4
30,41,3,27,34,6,26,15,4
30,27,5,27,34,6,26,26,4
30,41,3,27,34,6,26,26,4
30,27,3,27,34,6,26,26,4
30,41,8,27,28,6,16,9,4
30,41,5,27,28,6,16,26,4
11,41,3,27,6,6,44,15,4
30,27,8,27,34,6,16,26,4
30,41,3,27,34,6,44,26,4
30,41,8,27,28,6,16,26,4
30,27,3,27,34,6,16,46,4
53,15,8,14,28,6,16,15,4
30,41,5,27,28,10,16,46,5
30,41,2,27,34,6,26,26,5
30,41,5,27,34,10,26,26,5
30,41,25,27,28,10,4,26,5
30,15,5,27,28,6,26,26,5
53,41,5,53,18,10,26,26,5
53,27,14,14,28,6,10,26,5
30,27,8,27,28,6,16,26,5